shiPin,huaZhuang,yiYong,jianJie,yuanCai,shengWu,weiZhi
"1,1,1","1,3,5","1,1,1","3,5,7","1,3,5","1,3,5","1,1,1"
"1/5,1/3,1","1,1,1","1/5,1/3,1","1,3,5","1,1,3","1,3,5","1/5,1/3,1"
"1,1,1","1,3,5","1,1,1","3,5,7","1,3,5","1,3,5","1,1,1"
"1/7,1/5,1/3","1/5,1/3,1","1/7,1/5,1/3","1,1,1","1,1,3","1,1,3","1/7,1/5,1/3"
"1/5,1/3,1","1/3,1,1","1,3,5","1/3,1,1","1,1,1","1/5,1/3,1","1/5,1/3,1"
"1/5,1/3,1","1/5,1/3,1","1/7,1/5,1/3","1/3,1,1","1,3,5","1,1,1","1/5,1/3,1"
"1,1,1","1,3,5","1,1,1","3,5,7","1,3,5","1,3,5","1,1,1"
